StudentID,Gender,Grade,SES,AttendanceRate,AttendanceDays,MathScore,ReadingScore,ScienceScore,BehaviourScore,Extracurricular,AverageScore,PerformanceBand,AtRisk,PerformanceCategory,RiskScore
S1087,Male,9,Low,0.8371939125071066,151,58.20894665855191,47.62249364453412,56.555536066452255,9.168843771101926,Sports,54.12899212317942,Below Average,True,Critical,5.133717000661558
S1088,Male,11,Middle,0.8177970536386907,147,87.87057810545404,82.98409616557069,84.46455078877646,10.0,Debate,85.10640835326707,Strong,True,High,2.877103122645826
S1090,Female,12,High,0.9430439269363585,170,81.06361665860635,87.01414406975353,70.9125499080923,4.086426383603039,Debate,79.6634368788174,Average,True,High,0.4111081273786326
S1092,Male,12,Middle,0.7959534739976074,143,88.41450480484824,86.45588540983836,68.73408146944456,6.275326560147779,Arts,81.20149056137706,Strong,True,High,3.641628410083741
S1094,Male,9,Middle,0.8417318299697089,152,98.27206924147005,81.8968336316274,65.52054199577809,8.331786236844422,Science Club,81.89648162295852,Strong,True,High,2.039385951060191
S1099,Female,12,Middle,0.8564471886866629,154,68.35824920666586,87.94842810386528,87.16901021627666,4.8680100256732,None,81.15856250893593,Strong,True,High,1.583743884413858
S1101,Male,10,High,0.9773085392300743,176,57.000627986594885,63.496247910805174,53.639960698615965,4.9669677098906,Sports,58.04561219867201,Below Average,True,Low,0.9920584312132247
S1106,Female,12,Middle,0.9135781784027266,164,49.11596820095794,61.48454297183412,52.69461273268957,8.287972221585601,Sports,54.431707968493875,Below Average,True,Critical,2.7841460157530626
S1108,Female,11,High,0.8867810416791692,160,57.11019882455941,54.54775840449855,33.62930429515173,5.854955995673816,Debate,48.42908717473656,Poor,True,Critical,6.248119953860801
S1109,Female,9,Low,0.8481273264446691,153,100.0,85.61700274909525,100.0,8.660557782936184,Arts,95.20566758303175,Strong,True,High,1.8155435744365807
S1121,Male,12,Middle,0.7818847301158649,141,67.39246729152134,80.95098773064004,77.75582738790223,6.387559803390318,None,75.36642747002121,Average,True,High,4.134034445944729
S1122,Female,12,Low,0.8290885362680869,149,95.91399069916916,94.27569097724269,97.92206276702139,8.538333930299938,Science Club,96.03724814781107,Strong,True,High,2.48190123061696
S1125,Female,11,Middle,0.9050578376266173,163,50.633542834988035,60.42160263437397,61.56720488549152,4.573595504197179,None,57.54078345161784,Below Average,True,Low,1.4214902973023489
S1126,Male,12,Middle,0.954593417783346,172,54.53552368418114,45.115505068959266,57.56285687668812,6.091153083515237,Science Club,52.404628543276175,Below Average,True,Critical,3.7976857283619125
S1130,Female,12,Low,0.9123249445111541,164,46.138429176490185,47.552555233751434,43.11550659334383,7.7198618016798575,None,45.60216366786182,Poor,True,Critical,7.198918166069092
S1131,Female,10,Middle,0.8626675735639745,155,100.0,86.2112844946615,73.65657403773659,4.996380154321818,None,86.62261951079937,Strong,True,High,1.3082638558160753
S1132,Female,10,Middle,0.8236132207845457,148,55.62376621288969,66.20918975609568,66.22108473353958,8.084356131810734,None,62.684680234174984,Below Average,True,Low,2.6735372725409015
S1135,Female,9,Middle,0.8346647774241396,150,47.12117769408465,55.01209476233039,65.53288799205144,9.34540530599832,Science Club,55.888720149488826,Below Average,True,Low,4.342372715410702
S1139,Non-binary,11,Low,0.972898385416967,175,50.81826842786932,53.6919060934718,69.74302096652198,4.410270319671216,Sports,58.08439849595437,Below Average,True,Low,1.2231791081707688
S1143,Female,10,Middle,0.8683229479203042,156,52.970525924788895,53.42979753484842,40.81471725565406,5.101852563523444,Arts,49.07168023843045,Poor,True,Critical,6.5728567035741285
S1146,Male,12,High,0.8577652307404127,154,30.0,39.34507699754595,36.9781949672934,7.328800723058022,Debate,35.44109065494646,Poor,True,Critical,13.75767159661233
S1149,Female,9,Low,0.8370320161421398,151,82.78787087098793,82.47287266084295,61.795519915724746,7.453561051092342,None,75.68542114918522,Average,True,High,2.203879435025106
